,Unnamed: 0,domain,url,seed_type,link_type,title
9123,9123,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/kamera_kolesnaya/,product,other,Камера колесная в интернет-магазине Sport-ride.ru
9124,9124,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/zerkalo-zadnego-vida/,product,other,Зеркало заднего вида в интернет-магазине Sport-ride.ru
9125,9125,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/zashchita/zashchita_ramy_i_vilki/,product,other,Защита рамы и вилки в интернет-магазине Sport-ride.ru
9126,9126,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/zashchita/,product,other,Защита в интернет-магазине Sport-ride.ru
9127,9127,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/zamok_protivougonnyy/klyuch/,product,other,Ключ в интернет-магазине Sport-ride.ru
9128,9128,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/zamok_protivougonnyy/,product,other,Замок противоугонный в интернет-магазине Sport-ride.ru
9129,9129,abakan.denasosteo.ru,http://abakan.denasosteo.ru/page/contacts/,product,contact,Контакты - Медицинская техника - denasosteo.ru
9130,9130,abakan.realnye-prostitutki.com,http://abakan.realnye-prostitutki.com/karta-sajta/,product,other,Карта сайта на abakan.realnye-prostitutki.com
9131,9131,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/gripsy/,product,other,Грипсы в интернет-магазине Sport-ride.ru
9132,9132,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/vynos_rulya/,product,other,Вынос руля в интернет-магазине Sport-ride.ru
9133,9133,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/vynos_vilki/,product,other,Вынос вилки в интернет-магазине Sport-ride.ru
9134,9134,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/vtulka/,product,other,"Втулка, оси, эксцентрики в интернет-магазине Sport-ride.ru"
9135,9135,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/vilka_zhestkaya/,product,other,Вилка жесткая в интернет-магазине Sport-ride.ru
9136,9136,abakan.denasosteo.ru,http://abakan.denasosteo.ru/page/how-to-buy/,product,other,Как купить - Медицинская техника - denasosteo.ru
9137,9137,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/velosumki/,product,other,Велосумки в интернет-магазине Sport-ride.ru
9138,9138,abakan.denasosteo.ru,http://abakan.denasosteo.ru/cabinet/,product,other,Кабинет - Медицинская техника - denasosteo.ru
9139,9139,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/neyrodens-pkm-pribor/,product,other,НейроДэнс Пкм прибор - Медицинская техника - denasosteo.ru
9140,9140,sport-ride.ru,https://sport-ride.ru/category/velozapchasti/velosipednyy_nabor/,product,other,Велосипедный набор в интернет-магазине Sport-ride.ru
