Unnamed: 0.1,Unnamed: 0,domain,url,seed_type,link_type,title,link_type2
2935,2935,7not-pnz.ru,http://7not-pnz.ru/articles,product,other,Моя компания - Статьи,news
2936,2936,8kolonn.ru,http://8kolonn.ru/stoimost.html,product,other,Стоимость | Аренда залов - 8 колонн,other
2937,2937,7not-pnz.ru,http://7not-pnz.ru/photoalbums,product,other,Моя компания - Фотогалерея,other
2938,2938,13angels.ru,http://13angels.ru/angel-provence-zelenyiy-chay-protiv-perhoti-ili-dlya-ochen-jirnyih-volos,product,other,Серия косметики Angel Provence  Зеленый чай против перхоти или для очень жирных волос - 13Angels.ru,other
2939,2939,7not-pnz.ru,http://7not-pnz.ru/posts/rss,product,other,Моя компания - новости,news
2940,2940,15dayvic.ru,http://15dayvic.ru/tula_uborka/,product,other,Уборка «Братской могилы защитников Родины 1941-1945 гг. в Туле — 15 дней до Великой Победы,other
2941,2941,13angels.ru,http://13angels.ru/angel-professional-naboryi-kosmetiki-dlya-volos,product,other,- 13Angels.ru,other
2942,2942,7not-pnz.ru,http://7not-pnz.ru/services,product,other,Моя компания - Услуги,product
2943,2943,12ikon.ru:443,https://12ikon.ru:443/catalog?page=44,product,other,Каталог | Православный интернет магазин 12 икон.рус,product
2944,2944,12ikon.ru:443,https://12ikon.ru:443/catalog?page=4,product,other,Каталог | Православный интернет магазин 12 икон.рус,product
2945,2945,15dayvic.ru,http://15dayvic.ru/volgograd-2019/,product,other,Волгоград вновь присоединился к международной акции «15 дней до Победы» — 15 дней до Великой Победы,product
2946,2946,12ikon.ru:443,https://12ikon.ru:443/catalog?page=3,product,other,Каталог | Православный интернет магазин 12 икон.рус,product
2947,2947,12ikon.ru:443,https://12ikon.ru:443/catalog?page=2,product,other,Каталог | Православный интернет магазин 12 икон.рус,product
2948,2948,12ikon.ru:443,https://12ikon.ru:443/catalog?page=1,product,other,Каталог | Православный интернет магазин 12 икон.рус,product
2949,2949,7not-pnz.ru,http://7not-pnz.ru/services/zamena-kolka-na-skripke,product,other,Моя компания,other
2950,2950,7not-pnz.ru,http://7not-pnz.ru/services/otstroika-menzury-na-elektrogitare,product,other,Моя компания,other
2952,2952,15dayvic.ru,http://15dayvic.ru/fifteendays_vlg_2021/,product,other,10-летие проекта «15 дней до Великой Победы» в Волгограде — 15 дней до Великой Победы,other
2953,2953,15dayvic.ru,http://15dayvic.ru/az/,product,other,Азербайджанская Республика — 15 дней до Великой Победы,other
2954,2954,15dayvic.ru,http://15dayvic.ru/ryzan/,product,other,Ряза́нская о́бласть — 15 дней до Великой Победы,other
2955,2955,15dayvic.ru,http://15dayvic.ru/start_dgu/,product,other,Студенты ДГУ дали старт патриотической акции «15 дней до Великой Победы» — 15 дней до Великой Победы,product
2956,2956,7not-pnz.ru,http://7not-pnz.ru/page/1439522,product,other,Моя компания,other
2957,2957,8kolonn.ru,http://8kolonn.ru/ploshchadka.html,product,other,Площадка | Аренда залов - 8 колонн,other
2958,2958,15dayvic.ru,http://15dayvic.ru/%d1%80%d0%b5%d1%81%d0%bf%d1%83%d0%b1%d0%bb%d0%b8%d0%ba%d0%b0-%d0%bc%d0%be%d1%80%d0%b4%d0%be%d0%b2%d0%b8%d1%8f/,product,other,Республика Мордовия — 15 дней до Великой Победы,other
2959,2959,15dayvic.ru,http://15dayvic.ru/kem/,product,other,Кемеровская область — 15 дней до Великой Победы,other
2960,2960,13angels.ru,http://13angels.ru/angel-professional-franciya.html,product,other,Купить французскую косметику ANGEL PROFESSIONAL (Ангел Профессионал) в интернет-магазине 13angels.ru  - 13Angels.ru,other
